Seconds,Control (before 48hrs),Control (after 48hrs),10 mA (before 48hrs),10 mA (after 48hrs)
0,0.007572866381,0.007322116678,0.007302057427,0.008266477643
4,0.007789555669,0.00731876837,0.007302057427,0.008266083895
8,0.00800213941,0.00731876837,0.007302057427,0.008265690172
12,0.008183559448,0.007302057427,0.007302057427,0.00826962853
16,0.008340949001,0.007302057427,0.007302057427,0.008274357864
20,0.008486885963,0.007302057427,0.007302057427,0.008277907233
24,0.008619573195,0.007302057427,0.007324796796,0.008282248109
28,0.008740604383,0.007302057427,0.007443001965,0.008285801993
32,0.008861320601,0.007302057427,0.007545955737,0.008288172379
36,0.008962306041,0.007302057427,0.007633442505,0.008291729655
40,0.009054598553,0.007302057427,0.007708639959,0.008295288968
44,0.009136453537,0.007302057427,0.007775386482,0.008296871539
48,0.009212470377,0.007302057427,0.007834835907,0.008298850319
52,0.009277381971,0.007302057427,0.007884902719,0.008301621669
56,0.009338733923,0.007302057427,0.007927572162,0.008302809768
60,0.00939081917,0.007302057427,0.007964552037,0.008304790438
64,0.009437651796,0.007302057427,0.008008552781,0.008309150129
68,0.009481958953,0.007302057427,0.00804072269,0.008315100085
72,0.009516084183,0.007302057427,0.008072683694,0.008320261311
76,0.009549418731,0.007302057427,0.008097148768,0.008325824335
80,0.009577636064,0.007302057427,0.008122097443,0.00833059659
84,0.009602117006,0.007302057427,0.008142516154,0.008335770652
88,0.009619447946,0.007302057427,0.008165714393,0.008340550515
92,0.009635371315,0.007302057427,0.008183947962,0.008349323095
96,0.009654235204,0.007302057427,0.00820457443,0.008354512679
100,0.009664413091,0.007302057427,0.008226052639,0.008360106274
104,0.009672662817,0.007302057427,0.008244858589,0.008366905215
108,0.009678005882,0.007302057427,0.00826293481,0.008375314093
112,0.00968286663,0.007302057427,0.008279879982,0.0083777187
116,0.009685784642,0.007302057427,0.008296080203,0.008381728425
120,0.009687244088,0.008737211897,0.008311132817,0.008384938049
124,0.009685298225,0.01046231024,0.008327414681,0.008387346342
128,0.00968286663,0.01017805611,0.008340550515,0.008388550835
132,0.009679463764,0.007302057427,0.008356909323,0.008390960513
136,0.009676062494,0.007302057427,0.008370908038,0.008393772971
140,0.009672662817,0.007302057427,0.008383734248,0.008396586686
144,0.00966538316,0.007302057427,0.008395782639,0.008401413126
148,0.009660049388,0.007302057427,0.008407451382,0.008404632809
152,0.009651329863,0.008041861245,0.008421159541,0.008409062561
156,0.00964020352,0.008518776152,0.008431258097,0.00841389857
160,0.009632473544,0.007462205376,0.008444612939,0.008419948799
164,0.009622822696,0.007302057427,0.008457184113,0.008425600917
168,0.009611740159,0.007302057427,0.008468966852,0.008428428874
172,0.009602597858,0.007302057427,0.008481586421,0.008430045417
176,0.009591546374,0.007302057427,0.008492598103,0.008433279746
180,0.009579553127,0.007302057427,0.008505673694,0.008435706579
184,0.009568058421,0.007302057427,0.008515088366,0.008437324985
188,0.009555148857,0.007302057427,0.008527799713,0.00843975337
192,0.009542262517,0.007302057427,0.008537247074,0.008442992668
196,0.009532732021,0.007302057427,0.0085467084,0.008445828415
200,0.009517034443,0.007302057427,0.008557420661,0.008452720518
204,0.009506588542,0.007302057427,0.00856815084,0.008455560624
208,0.009492842299,0.007302057427,0.008583865715,0.008459620126
212,0.009480540613,0.007302057427,0.008592981377,0.008461650852
216,0.009467316413,0.007302057427,0.008600864388,0.008465714255
220,0.009455058821,0.007302057427,0.008613746865,0.008470593775
224,0.009440471651,0.007302057427,0.008622488331,0.008473848873
228,0.009428260389,0.007302057427,0.008633744755,0.008477512853
232,0.009417944233,0.007302057427,0.008641259929,0.008480364076
236,0.009401563176,0.007302057427,0.008652967553,0.008482401447
240,0.009389418985,0.007302057427,0.008660086078,0.008487293803
244,0.009376829847,0.007302057427,0.008671827745,0.008492189923
248,0.009363798215,0.007302057427,0.008683170187,0.008497089811
252,0.009354969077,0.007302057427,0.008693268977,0.008501993471
256,0.009340124034,0.007302057427,0.008702539968,0.008506900907
260,0.00932993629,0.007302057427,0.008703383439,0.008509765323
264,0.009316991496,0.007302057427,0.008717316471,0.008515498015
268,0.00930591502,0.007302057427,0.008723236443,0.008520415852
272,0.009298079807,0.007302057427,0.008731702853,0.008526568477
276,0.00928289538,0.007302057427,0.008740604383,0.00853067352
280,0.009271872929,0.007302057427,0.008746120921,0.008535603052
284,0.009261784347,0.007302057427,0.008751642104,0.008539713898
288,0.009249422907,0.007302057427,0.008757593195,0.00854423888
292,0.00924028047,0.007302057427,0.008763975354,0.008547943517
296,0.009229781563,0.007302057427,0.008772068332,0.008554122674
300,0.009218843139,0.007302057427,0.008778464568,0.008559895265
304,0.009207467328,0.007302057427,0.008782732182,0.008564847336
308,0.009194748638,0.007302057427,0.008787856973,0.008568976981
312,0.009185678204,0.007302057427,0.008792558202,0.008574762948
316,0.009175714506,0.007374615884,0.008798974377,0.008580967983
320,0.009164409614,0.007375630398,0.008802398891,0.008586764754
